ParticleType,Energy
pi-,786.032
pi-,786.032
2pi-,785.135
2pi-,785.135
pi+,283.555
pi+,283.555
2pi+,282.094
2pi+,282.094
pi-,285.793
pi-,285.793
pi-,285.793
2pi-,284.507
2pi-,284.507
2pi-,284.507
pi+,273.514
pi+,273.514
2pi+,272.08
2pi+,272.08
pi-,683.757
pi-,683.757
2pi-,682.546
2pi-,682.546
pi+,561.946
pi+,561.946
2pi+,560.76
2pi+,560.76
pi-,477.271
pi-,477.271
2pi-,475.209
2pi-,475.209
pi+,392.645
pi+,392.645
pi+,392.645
2pi+,391.636
2pi+,391.636
2pi+,391.636
pi+,350.944
pi+,350.944
2pi+,349.823
2pi+,349.823
pi+,110.148
pi+,110.148
pi+,110.148
2pi+,108.284
2pi+,108.284
2pi+,108.284
pi-,439.17
pi-,439.17
2pi-,436.898
2pi-,436.898
pi+,256.241
pi+,256.241
2pi+,253.128
2pi+,253.128
pi+,1250.37
pi+,1250.37
2pi+,1249.46
2pi+,1249.46
pi-,586.486
pi-,586.486
2pi-,585.128
2pi-,585.128
pi-,629.207
pi-,629.207
2pi-,627.381
2pi-,627.381
pi+,838.967
pi+,838.967
2pi+,837.986
2pi+,837.986
pi+,740.511
pi+,740.511
2pi+,739.575
2pi+,739.575
pi+,427.429
pi+,427.429
2pi+,425.547
2pi+,425.547
pi-,499.142
pi-,499.142
2pi-,498.271
2pi-,498.271
pi+,253.471
pi+,253.471
2mu+,188.604
2mu+,188.604
2mu+,188.604
pi+,314.504
pi+,314.504
2pi+,312.443
2pi+,312.443
pi+,353.839
pi+,353.839
2pi+,352.483
2pi+,352.483
pi-,407.175
pi-,407.175
2pi-,405.959
2pi-,405.959
pi-,445.24
pi-,445.24
2pi-,442.768
2pi-,442.768
pi-,430.966
pi-,430.966
2pi-,429.507
2pi-,429.507
pi+,281.591
pi+,281.591
2pi+,280.407
2pi+,280.407
pi-,362.716
pi-,362.716
2pi-,361.652
2pi-,361.652
pi-,289.036
pi-,289.036
2pi-,287.76
2pi-,287.76
pi-,366.306
pi-,366.306
pi-,366.306
2pi-,365.04
2pi-,365.04
2pi-,365.04
pi+,111.817
pi+,111.817
pi+,111.817
2mu+,97.9227
2mu+,97.9227
2mu+,97.9227
pi-,396.814
pi-,396.814
2mu-,227.591
2mu-,227.591
2mu-,227.591
pi-,828.672
pi-,828.672
2pi-,827.755
2pi-,827.755
pi-,1819.73
pi-,1819.73
2pi-,1818.7
2pi-,1818.7
pi-,281.561
pi-,281.561
pi-,281.561
2pi-,280.656
2pi-,280.656
2pi-,280.656
pi-,392.619
pi-,392.619
2pi-,391.49
2pi-,391.49
pi+,744.96
pi+,744.96
2mu+,511.506
2mu+,511.506
pi-,397.345
pi-,397.345
2pi-,396.046
2pi-,396.046
pi+,485.06
pi+,485.06
2mu+,280.84
2mu+,280.84
2mu+,280.84
pi+,367.508
pi+,367.508
2mu+,258.251
2mu+,258.251
pi-,414.539
pi-,414.539
2mu-,290.946
2mu-,290.946
2mu-,290.946
pi-,368.085
pi-,368.085
2pi-,367.098
2pi-,367.098
pi+,725.355
pi+,725.355
2pi+,724.446
2pi+,724.446
pi-,102.128
pi-,102.128
pi-,102.128
2mu-,101.292
2mu-,101.292
2mu-,101.292
mu-,206.456
mu-,206.456
2mu-,204.468
2mu-,204.468
pi+,215.291
pi+,215.291
pi+,215.291
2mu+,148.404
2mu+,148.404
2mu+,148.404
pi+,337.523
pi+,337.523
2pi+,335.664
2pi+,335.664
pi+,467.587
pi+,467.587
2pi+,466.685
2pi+,466.685
pi-,997.828
pi-,997.828
2pi-,996.914
2pi-,996.914
pi+,368.083
pi+,368.083
2pi+,366.929
2pi+,366.929
pi+,1030.75
pi+,1030.75
2pi+,1029.73
2pi+,1029.73
pi+,389.008
pi+,389.008
2pi+,387.633
2pi+,387.633
pi-,582.389
pi-,582.389
2pi-,581.472
2pi-,581.472
pi-,716.449
pi-,716.449
2pi-,715.483
2pi-,715.483
pi+,720.954
pi+,720.954
2mu+,685.92
2mu+,685.92
pi-,1632.79
pi-,1632.79
2pi-,1631.56
2pi-,1631.56
