ParticleType	PosX_mm	PosY_mm	PosZ_mm
pi+	1194.77	2024.31	-1937.56	
mu+	17575.3	34188.8	-22746.5	
mu+	23118.3	44334.5	-29747.7	
pi-	8.90351	7.4167	210.114	
pi0	3.74817e-05	-3.42835e-05	53.6628	
pi+	-2.21166	14.2036	95.0323	
pi+	-4.02162	25	119.196	
pi+	891.192	-892.664	4413.3	
mu+	3199.02	-4050.94	10889.9	
mu+	5942.96	-7719.32	18089.4	
mu+	8376.48	-10933.2	24362	
mu+	10569.6	-13823.4	30002.9	
mu+	12533.9	-16431.9	35011.6	
mu+	14312.2	-18771.6	39533.4	
mu+	15949.8	-20889.9	43608.6	
mu+	17394.3	-22778	47228.5	
mu+	18721	-24456.6	50505.8	
mu+	19910.6	-25970.9	53453.4	
mu+	20975.7	-27337.9	56103.8	
mu+	21933.2	-28569.1	58496.9	
mu+	22792.9	-29678.8	60648.9	
mu+	23561.3	-30681.6	62584	
mu+	24250.9	-31585.6	64322.8	
mu+	24877.3	-32394.8	65883	
mu+	25440.4	-33123.7	67291.8	
mu+	25944.1	-33782.7	68554.5	
mu+	26391.9	-34379.3	69690.3	
mu+	26793.4	-34917.5	70713.6	
mu+	27156	-35400.8	71634	
mu+	27482.7	-35835.5	72461.5	
mu+	27776.1	-36227.3	73209	
mu+	28038.9	-36580.8	73882.6	
mu+	28276	-36898.6	74487.4	
mu+	28489.2	-37184.7	75031.1	
mu+	28680.9	-37442.3	75519.4	
mu+	28854.1	-37673.7	75959.8	
mu+	29009.6	-37882.2	76357	
mu+	29149.7	-38069.8	76715.4	
mu+	29275.8	-38238.5	77038.9	
mu+	29389.2	-38390.5	77330.1	
mu+	29491.4	-38527.2	77591.8	
mu+	29583.3	-38650.2	77828	
mu+	29665.9	-38761	78041.2	
mu+	29740.5	-38860.5	78233.2	
mu+	29807.5	-38950.2	78406.7	
mu+	29867.9	-39030.8	78562.6	
mu+	29922.2	-39103.4	78702.7	
mu+	29971.2	-39168.7	78828.6	
mu+	30015.2	-39227.5	78941.9	
mu+	30054.9	-39280.3	79043.8	
mu+	30090.6	-39327.9	79135.9	
mu+	30122.7	-39370.8	79218.6	
mu+	30151.6	-39409.3	79293.1	
mu+	30177.5	-39444	79360.3	
mu+	30200.9	-39475.3	79420.7	
mu+	30221.9	-39503.4	79475.1	
mu+	30240.8	-39528.8	79524	
mu+	30257.9	-39551.5	79568.1	
mu+	30273.2	-39572.1	79607.7	
mu+	30287	-39590.5	79643.5	
mu+	30299.4	-39607.1	79675.6	
mu+	30310.6	-39622.1	79704.5	
mu+	30320.7	-39635.5	79730.5	
mu+	30329.7	-39647.6	79754	
mu+	30337.8	-39658.5	79775	
mu+	30345.2	-39668.3	79794	
mu+	30351.8	-39677.1	79811.1	
mu+	30357.7	-39685.1	79826.4	
mu+	30363.1	-39692.2	79840.3	
mu+	30367.9	-39698.7	79852.7	
mu+	30372.3	-39704.5	79863.9	
mu+	30376.2	-39709.7	79874	
mu+	30378.7	-39713.1	79880.6	
pi-	1.01647	0.337272	56.6466	
pi-	0.266745	0.758565	54.9491	
pi-	-0.146988	0.903288	53.4558	
pi-	-0.434933	1.15151	52.2657	
pi-	-0.812799	1.42182	51.3909	
pi-	-1.05941	1.6386	50.6992	
pi-	-1.33873	1.78664	50.1684	
pi-	-1.53899	1.96719	49.7513	
pi-	-1.64836	2.01066	49.3717	
pi-	-1.71732	2.0754	49.0735	
pi-	-1.76743	2.14555	48.8516	
pi-	-1.82597	2.26107	48.7398	
pi-	-1.82483	2.30631	48.7	
pi-	-1.82473	2.30739	48.6998	
pi-	-1.82473	2.30739	48.6998	
pi-	-1.82473	2.30739	48.6998	
