ParticleType	PosX_mm	PosY_mm	PosZ_mm
mu+	1276.06	-758.773	10833.5
mu+	1349.17	-753.135	11744.6
mu+	1398.62	-711.565	12685.2
mu+	1440.94	-670.567	13566.2
mu+	1471.8	-637.013	14412
mu+	1476.78	-631.148	15236.6
mu+	1468.33	-640.934	16063.9
mu+	1433.55	-677.581	16882.4
mu+	1376.99	-729.671	17701.7
mu+	1292.55	-790.467	18494.6
mu+	1169.33	-853.639	19314.1
mu+	1000.09	-902.999	20169.8
mu+	788.523	-910.086	21022.9
mu+	536.156	-853.796	21975.5
mu+	298.912	-678.86	22906.7
mu+	141.037	-412.893	23888.1
mu+	96.7408	-110.9	24866
mu+	1393.5	-676.71	44022.7
mu+	789.937	468.83	59862.3
mu+	676.79	-678.734	71074.1
mu+	1425.09	-128.563	80141.5
mu+	1413.45	-268.565	88298.3
mu+	752.765	-552.734	94490.5
mu+	934.072	-1286.52	97128
mu+	-622.748	-2332.85	97761.1
mu+	-1249.85	-2491.68	98357.4
mu+	-637.766	-2452.12	99025.2
mu+	-1205.79	-2620.96	100044
mu+	-804.489	-2794.36	101315
mu+	-963.764	-2826.38	102520
mu+	-969.259	-2366.1	103531
mu+	-977.517	-2367.63	104127
mu+	-913.025	-2765.93	104688
mu+	-1047.59	-2742.1	105122
mu+	-878.05	-2745.99	105381
mu+	-974.075	-2434.58	105606
mu+	-805.339	-2647.09	105803
mu+	-917.32	-2737.05	105947
mu+	-909.925	-2735.15	106108
mu+	-811.111	-2629.34	106244
mu+	-960.981	-2510.42	106369
mu+	-956.078	-2720.2	106464
mu+	-884.962	-2522.78	106526
mu+	-937.956	-2712.44	106570
mu+	-973.922	-2541.15	106612
mu+	-839.895	-2604.85	106655
mu+	-919.588	-2699.05	106689
mu+	-991.759	-2628.24	106717
mu+	-950.295	-2557.75	106745
mu+	-886.358	-2568.02	106770
mu+	-861.006	-2613.91	106789
mu+	-872.708	-2654.27	106806
mu+	-901.728	-2670.45	106821
mu+	-928.94	-2667.08	106831
mu+	-947.462	-2653.47	106839
mu+	-956.046	-2636.63	106846
mu+	-956.548	-2622.18	106851
mu+	-954.381	-2611.53	106856
mu+	-950.022	-2603.73	106861
mu+	-945.405	-2598.64	106864
mu+	-940.75	-2595.5	106867
mu+	-936.47	-2593.67	106869
mu+	-932.877	-2592.99	106871
mu+	-929.868	-2592.67	106872
mu+	-927.523	-2592.63	106873
mu+	-925.754	-2592.73	106874
mu+	-924.325	-2592.98	106874
mu+	-923.161	-2593.26	106875
mu+	-922.22	-2593.6	106875
mu+	-921.461	-2593.91	106875
mu+	-920.897	-2594.19	106875
mu+	-920.438	-2594.43	106875
mu+	-920.082	-2594.58	106876
mu+	-919.814	-2594.71	106876
mu+	-919.604	-2594.8	106876
mu+	-919.453	-2594.88	106876
mu+	-919.421	-2594.91	106876
mu+	-919.421	-2594.91	106876
pi-	-2.82678	-2.28671	70.7366
pi0	-2.82681	-2.2868	70.7366
pi-	-10.6475	3.4123	73.8375
pi-	-11.4555	3.89541	74.0157
pi-	-12.0626	4.34541	74.1651
pi-	-12.5904	4.6666	74.1462
pi-	-13.0687	4.81321	74.1184
pi-	-13.4353	4.87593	74.218
pi-	-13.736	4.88453	74.2804
pi-	-13.9536	4.80961	74.3577
pi-	-14.1148	4.76561	74.3723
pi-	-14.1617	4.75234	74.3887
pi-	-14.162	4.75207	74.3895
pi-	-14.162	4.75208	74.3895
pi-	-14.162	4.75208	74.3895
pi+	6.50025	15.9166	113.108
