ParticleType,Energy
pi+,207.776
pi+,207.776
2pi+,205.869
2pi+,205.869
2pi+,205.869
pi-,365.556
pi-,365.556
pi-,365.556
2pi-,363.684
2pi-,363.684
2pi-,363.684
pi-,447.519
pi-,447.519
2pi-,445.304
2pi-,445.304
2pi-,445.304
pi+,129.173
pi+,129.173
pi+,129.173
pi+,263.482
pi+,263.482
pi+,263.482
2pi+,261.354
2pi+,261.354
2pi+,261.354
pi-,400.714
pi-,400.714
2pi-,398.356
2pi-,398.356
2pi-,398.356
pi+,290.232
pi+,290.232
pi-,406.939
pi-,406.939
pi-,393.851
pi-,393.851
2mu-,401.51
2mu-,401.51
2mu-,401.51
pi-,314.456
pi-,314.456
pi+,1126.45
pi+,1126.45
2pi+,1124.34
2pi+,1124.34
2pi+,1124.34
pi+,347.918
pi+,347.918
pi+,347.918
2pi+,345.991
2pi+,345.991
2pi+,345.991
pi+,445.052
pi+,445.052
2pi+,443.269
2pi+,443.269
2pi+,443.269
pi+,418.169
pi+,418.169
pi+,335.52
pi+,335.52
2pi+,333.287
2pi+,333.287
2pi+,333.287
mu+,164.115
mu+,164.115
mu+,164.115
pi+,187.613
pi+,187.613
pi+,187.613
2pi+,185.416
2pi+,185.416
2pi+,185.416
pi-,161.53
pi-,161.53
pi-,161.53
pi+,184.08
pi+,184.08
pi+,184.08
pi+,887.91
pi+,887.91
2pi+,885.923
2pi+,885.923
2pi+,885.923
pi+,647.009
pi+,647.009
2pi+,644.76
2pi+,644.76
2pi+,644.76
pi-,1023.45
pi-,1023.45
2pi-,1021.04
2pi-,1021.04
2pi-,1021.04
pi+,505.918
pi+,505.918
pi-,464.9
pi-,464.9
pi+,358.995
pi+,358.995
2mu+,374.366
2mu+,374.366
2mu+,374.366
pi+,604.79
pi+,604.79
2pi+,602.592
2pi+,602.592
2pi+,602.592
pi+,693.037
pi+,693.037
2pi+,691.143
2pi+,691.143
2pi+,691.143
pi+,334.95
pi+,334.95
2pi+,332.05
2pi+,332.05
2pi+,332.05
pi+,471.091
pi+,471.091
2pi+,469.164
2pi+,469.164
2pi+,469.164
pi+,400.318
pi+,400.318
pi+,290.639
pi+,290.639
pi+,290.639
2mu+,256.566
2mu+,256.566
2mu+,256.566
pi+,285.089
pi+,285.089
pi-,566.172
pi-,566.172
2pi-,559.741
2pi-,559.741
2pi-,559.741
pi-,576.943
pi-,576.943
pi+,478.35
pi+,478.35
2pi+,476.108
2pi+,476.108
2pi+,476.108
pi+,215.245
pi+,215.245
pi+,215.245
2mu+,124.639
2mu+,124.639
2mu+,124.639
pi+,759.733
pi+,759.733
2pi+,757.449
2pi+,757.449
2pi+,757.449
pi+,222.904
pi+,222.904
pi+,222.904
2mu+,190.756
2mu+,190.756
2mu+,190.756
pi+,672.047
pi+,672.047
2pi+,669.837
2pi+,669.837
2pi+,669.837
pi-,292.923
pi-,292.923
2pi-,289.906
2pi-,289.906
2pi-,289.906
pi+,515.254
pi+,515.254
2pi+,513.502
2pi+,513.502
2pi+,513.502
pi+,443.03
pi+,443.03
2pi+,440.981
2pi+,440.981
2pi+,440.981
pi-,836.489
pi-,836.489
2pi-,834.342
2pi-,834.342
2pi-,834.342
pi+,320.338
pi+,320.338
pi+,217.056
pi+,217.056
pi+,217.056
pi+,588.65
pi+,588.65
2pi+,582.554
2pi+,582.554
2pi+,582.554
pi-,940.5
pi-,940.5
2mu-,707.199
2mu-,707.199
2mu-,707.199
pi+,196.215
pi+,196.215
pi+,196.215
2pi+,193.318
2pi+,193.318
2pi+,193.318
pi-,124.33
pi-,124.33
pi-,124.33
pi+,827.527
pi+,827.527
2mu+,628.663
2mu+,628.663
2mu+,628.663
pi-,672.901
pi-,672.901
2pi-,670.909
2pi-,670.909
2pi-,670.909
pi+,571.825
pi+,571.825
2mu+,535.94
2mu+,535.94
2mu+,535.94
pi+,174.183
pi+,174.183
pi+,174.183
2mu+,86.7194
2mu+,86.7194
2mu+,86.7194
pi-,205.422
pi-,205.422
pi-,205.422
mu+,229.25
mu+,229.25
mu+,229.25
pi-,499.1
pi-,499.1
pi+,595.934
pi+,595.934
pi-,250.446
pi-,250.446
pi-,250.446
2mu-,207.186
2mu-,207.186
2mu-,207.186
pi-,450.493
pi-,450.493
2pi-,448.41
2pi-,448.41
2pi-,448.41
pi+,561.417
pi+,561.417
2pi+,559.37
2pi+,559.37
2pi+,559.37
pi+,169.311
pi+,169.311
pi+,169.311
2mu+,189.212
2mu+,189.212
2mu+,189.212
pi+,316.237
pi+,316.237
pi+,616.03
pi+,616.03
2pi+,613.811
2pi+,613.811
2pi+,613.811
pi-,144.948
pi-,144.948
pi-,144.948
pi-,370.739
pi-,370.739
2pi-,367.057
2pi-,367.057
2pi-,367.057
pi+,314.58
pi+,314.58
pi+,314.58
2mu+,337.401
2mu+,337.401
2mu+,337.401
pi-,666.505
pi-,666.505
2pi-,664.504
2pi-,664.504
2pi-,664.504
pi+,424.407
pi+,424.407
pi+,281.319
pi+,281.319
pi+,281.319
2pi+,279.349
2pi+,279.349
2pi+,279.349
pi+,1060.38
pi+,1060.38
pi-,744.67
pi-,744.67
2pi-,742.479
2pi-,742.479
2pi-,742.479
pi-,274.614
pi-,274.614
pi-,274.614
pi+,527.695
pi+,527.695
2pi+,525.647
2pi+,525.647
2pi+,525.647
pi+,959.753
pi+,959.753
2pi+,957.595
2pi+,957.595
2pi+,957.595
pi-,749.879
pi-,749.879
2pi-,748.05
2pi-,748.05
2pi-,748.05
pi+,684.79
pi+,684.79
2pi+,682.411
2pi+,682.411
2pi+,682.411
pi-,83.0586
pi-,83.0586
pi-,83.0586
2pi-,80.1962
2pi-,80.1962
2pi-,80.1962
pi+,204.242
pi+,204.242
pi+,204.242
pi-,1383.51
pi-,1383.51
2pi-,1381.48
2pi-,1381.48
2pi-,1381.48
pi-,708.555
pi-,708.555
pi+,359.312
pi+,359.312
2mu+,278.755
2mu+,278.755
2mu+,278.755
pi-,426.311
pi-,426.311
pi-,435.405
pi-,435.405
pi-,493.668
pi-,493.668
pi-,559.449
pi-,559.449
2pi-,557.497
2pi-,557.497
2pi-,557.497
pi-,147.885
pi-,147.885
pi-,147.885
pi-,438.463
pi-,438.463
pi+,247.758
pi+,247.758
pi+,247.758
2pi+,245.927
2pi+,245.927
2pi+,245.927
